AgentID AgentLiquidity AgentPurposeCategory AgentStrategyType RiskAppetite ProActivity IntelligenceGap OwnTokenID DoB DoD
1 2574.356946626806 Speculator noisy 0.5911151341901575 0.4507552421996284 0 0 1 15
2 1935.5343122046304 Speculator noisy 0.7574557051089303 0.515795001747182 0 0 2 13
3 10188.917983350428 Investor fundy 0.14730096274154014 0.09962967762633726 0.22865190703463364 0 1 48
4 5148.858202393227 Utilizer fundy 0.15115488332778967 0.25007919337836737 0.26813400596904857 0 2 28
5 2532.550380072833 Speculator noisy 0.5845902656777662 0.3678012032082346 0 0 2 14
6 0 Creator none 0 0 0 1 1 71
7 9909.200470771553 Investor fundy 0.20222376751271745 0.09842710314498568 0.14635193898812332 0 2 48
8 9413.739042048182 Investor charty 0.3665364501660202 0.21601475145549967 0 0 2 47
9 0 Creator none 0 0 0 2 2 68
10 1935.5342631726983 Speculator noisy 0.5025004015872354 0.3642274839920192 0 0 2 13
11 2594.009797229769 Speculator noisy 0.5260972007165364 0.5458064461589969 0 0 1 15
12 4598.556398979116 Utilizer charty 0.37666530458940856 0.4496011690818043 0 0 1 23
13 10410.248099386577 Investor charty 0.37028283889423785 0.42158404618665984 0 0 2 51
14 0 Creator none 0 0 0 3 2 77
15 12436.519197981988 Investor fundy 0.19003678189109002 0.1916327632566593 0.29796359373806625 0 2 51
16 4010.869132101384 Utilizer charty 0.39099795851756397 0.4574137387579183 0 0 7 32
17 9643.485791286337 Investor fundy 0.23387202112500843 0.20556454506587932 0.2206640067768882 0 4 53
18 1600.3988359288523 Speculator noisy 0.5722254248047273 0.4444940235628439 0 0 8 19
19 6189.7969798344475 Utilizer charty 0.44857229784142383 0.3984916284410201 0 0 8 33
20 1472.8782168172881 Speculator noisy 0.6085302505859616 0.5437692828525597 0 0 7 18
21 1605.255917486652 Speculator charty 0.3872686537080406 0.43049897430415063 0 0 3 13
22 4815.141655746525 Utilizer fundy 0.21926369819561184 0.06384376211682453 0.2308418610259567 0 4 26
23 4847.911494028957 Utilizer charty 0.4056459792899857 0.3033863514413124 0 0 5 27
24 1506.6250118333364 Speculator charty 0.3825901158795686 0.3700953841365997 0 0 8 18
25 8652.328888409458 Investor fundy 0.16980956329400534 0.14803231525158844 0.2090638530546884 0 4 53
26 2143.4492845237055 Speculator noisy 0.6099358770527015 0.4446855684075658 0 0 7 18
27 5001.043139063138 Utilizer charty 0.3824100449072337 0.48481643538034125 0 0 5 28
28 9485.710545452645 Investor charty 0.3595963523318642 0.35244939518615037 0 0 4 48
29 2178.090756849547 Speculator noisy 0.4403168336893623 0.3827452393643228 0 0 4 18
30 2048.4738438759878 Speculator charty 0.42390302975168515 0.3155239598906545 0 0 5 15
31 1949.081902137964 Speculator noisy 0.7967565647107474 0.5104529215937376 0 0 8 18
32 2068.8751621635843 Speculator noisy 0.5582948361757019 0.517652702631824 0 0 8 18
33 1782.0461430744901 Speculator noisy 0.5997074492560681 0.5148988287941988 0 0 7 18
34 9899.692886646757 Investor fundy 0.2200024050991486 0.16710616228837943 0.19622156568757432 0 5 45
35 4600.844503635988 Utilizer charty 0.38278126319239836 0.3732573494158092 0 0 7 26
36 5468.349378571598 Utilizer charty 0.3869336090936073 0.28854368507911815 0 0 8 33
37 1905.6133299617081 Speculator noisy 0.674955202166875 0.5160214102432613 0 0 4 15
38 1743.6607856095382 Speculator charty 0.3832482713813973 0.37881145893369317 0 0 4 17
39 2118.4564146300318 Speculator noisy 0.6101170685879779 0.5370722233706041 0 0 4 12
40 4219.703945953107 Utilizer charty 0.31892216059661077 0.32701113653524033 0 0 3 23
41 1856.7710261363823 Speculator charty 0.432812157256536 0.2895805294284229 0 0 8 19
42 2212.9667556831105 Speculator noisy 0.675993914025619 0.5062485004741576 0 0 8 20
43 9808.119694187115 Investor fundy 0.17076544029772356 0.12789851493838322 0.24017572541791837 0 5 51
44 4279.052506864625 Utilizer charty 0.36379965956901905 0.3305147871883415 0 0 7 30
45 4537.952852861058 Utilizer charty 0.42581042473377256 0.2549300972359643 0 0 7 26
46 4710.598598941373 Utilizer charty 0.3905798260647607 0.182788874399944 0 0 8 29
47 1924.3856708681178 Speculator noisy 0.5881638253348266 0.5393400682421379 0 0 4 14
48 2203.5809157622707 Speculator noisy 0.6406946435654008 0.5256791845731053 0 0 3 14
49 2120.708923809295 Speculator noisy 0.48278432813540634 0.5183777687976845 0 0 4 13
50 9758.2264514334 Investor fundy 0.22944390520507246 0.18969085331789667 0.18028002801496879 0 3 52
51 10543.923445714086 Investor fundy 0.24301092730646592 0.1446554208897224 0.23849872715457052 0 6 53
52 1592.3069758946922 Speculator noisy 0.7072630181150232 0.4814249485911186 0 0 6 17
53 9138.748233255827 Investor fundy 0.24438646548055176 0.13097972542387976 0.16901410472085665 0 6 51
