TokenID OwnerAgentID LifeCycleCurveShape DoB DoD
1 20 Traditional_4x 1 63
2 23 Traditional_4x 1 69
3 42 Traditional_1x 1 76
4 50 Bust_2x 1 74
5 57 Revival_1x 1 77
6 58 Seasonal_2x 2 70
7 61 Fad_2x 7 75
8 63 Revival_2x 3 70
9 82 Bust_4x 4 75
10 89 Revival_2x 8 80
11 91 Revival_3x 5 79
12 95 Bust_2x 5 75
13 96 Extended_Fad_4x 7 79
14 133 Traditional_1x 5 76
15 136 Fad_3x 8 71
16 139 Boom_classic_1x 5 75
17 144 Revival_4x 6 77
18 147 Traditional_3x 8 82
19 151 Boom_classic_3x 7 81
20 152 Seasonal_2x 7 76
21 163 Revival_1x 6 71
22 164 Traditional_2x 3 73
23 166 Revival_1x 6 78
24 167 Revival_1x 3 72
25 172 Traditional_2x 5 75
26 175 Bust_1x 5 78
27 182 Boom_classic_1x 4 76
28 184 Bust_4x 8 79
29 207 Boom_classic_2x 6 77
30 219 Traditional_2x 6 71
31 221 Traditional_4x 3 72
32 224 Seasonal_3x 5 75
33 242 Fad_4x 8 75
34 246 Traditional_2x 8 80
35 250 Fad_2x 8 74
36 254 Boom_classic_4x 8 79
37 265 Traditional_2x 3 71
38 274 Revival_4x 5 74
39 275 Fad_4x 8 81
40 281 Fad_2x 5 75
41 288 Bust_1x 3 67
42 292 Boom_classic_3x 6 73
43 293 Bust_4x 4 70
44 317 Boom_classic_3x 3 74
45 318 Boom_classic_2x 5 72
46 319 Boom_classic_1x 4 76
47 334 Revival_1x 11 82
48 337 Boom_classic_2x 17 89
49 354 Boom_classic_2x 18 83
50 362 Fad_4x 9 77
51 403 Boom_classic_3x 13 88
52 409 Extended_Fad_4x 18 89
53 412 Traditional_4x 11 81
54 430 Traditional_4x 17 89
55 436 Seasonal_4x 19 88
56 439 Traditional_3x 15 85
57 440 Extended_Fad_1x 19 83
58 447 Bust_4x 15 82
59 463 Fad_2x 11 81
60 464 Boom_classic_2x 12 81
61 470 Revival_2x 17 85
62 473 Revival_4x 18 91
63 474 Fad_3x 18 86
64 482 Fad_4x 14 80
65 492 Seasonal_2x 10 76
66 497 Extended_Fad_3x 18 86
67 500 Boom_classic_1x 10 75
68 504 Bust_2x 18 85
69 509 Seasonal_3x 17 86
70 519 Bust_3x 13 82
71 529 Traditional_2x 15 86
72 531 Boom_classic_4x 10 81
73 557 Boom_classic_3x 11 81
74 572 Fad_2x 14 81
75 592 Bust_4x 14 86
76 606 Bust_1x 15 86
77 611 Revival_2x 19 88
78 618 Fad_4x 17 83
79 626 Revival_2x 13 82
80 628 Seasonal_3x 9 80
81 637 Extended_Fad_2x 16 86
82 642 Traditional_1x 16 87
83 650 Revival_3x 10 77
84 653 Seasonal_4x 10 80
85 658 Traditional_4x 15 86
86 690 Boom_classic_1x 10 76
87 692 Revival_4x 11 77
88 714 Extended_Fad_1x 16 86
89 717 Seasonal_3x 15 90
90 742 Extended_Fad_4x 10 79
91 750 Extended_Fad_1x 17 85
92 755 Extended_Fad_1x 18 84
93 762 Boom_classic_4x 16 83
94 765 Revival_4x 12 82
95 768 Seasonal_3x 14 83
96 774 Seasonal_3x 12 86
97 779 Seasonal_1x 11 88
98 782 Bust_1x 13 85
99 784 Boom_classic_4x 11 77
100 785 Traditional_4x 15 84
101 787 Boom_classic_3x 17 90
102 799 Extended_Fad_4x 20 92
103 812 Fad_4x 19 83
104 847 Revival_1x 16 87
105 858 Traditional_1x 20 93
106 865 Traditional_4x 20 86
107 873 Traditional_4x 14 79
108 878 Traditional_1x 18 86
109 888 Fad_3x 9 80
110 897 Seasonal_2x 20 85
111 898 Traditional_1x 15 86
112 900 Extended_Fad_1x 17 87
113 910 Bust_1x 13 82
114 925 Bust_1x 19 88
115 927 Bust_1x 17 91
116 936 Traditional_3x 9 81
117 959 Bust_1x 13 87
118 980 Boom_classic_3x 14 86
119 989 Seasonal_1x 19 89
120 999 Traditional_4x 20 94
121 1000 Fad_3x 13 77
122 1004 Extended_Fad_3x 25 91
123 1011 Extended_Fad_4x 28 101
124 1015 Extended_Fad_2x 21 87
125 1029 Revival_3x 31 97
126 1046 Traditional_2x 24 96
127 1049 Seasonal_1x 22 91
128 1063 Traditional_2x 29 93
129 1066 Traditional_4x 21 92
130 1085 Bust_3x 27 100
131 1086 Boom_classic_2x 21 90
132 1087 Extended_Fad_4x 21 89
133 1090 Bust_3x 22 84
134 1091 Traditional_1x 27 94
135 1097 Revival_3x 32 100
136 1101 Bust_2x 27 94
137 1104 Revival_1x 31 102
138 1122 Fad_2x 27 95
139 1139 Boom_classic_4x 31 101
140 1144 Bust_1x 30 101
141 1153 Traditional_3x 32 101
142 1156 Seasonal_2x 27 104
143 1158 Fad_2x 25 95
144 1160 Revival_2x 25 90
145 1182 Bust_1x 24 93
146 1191 Bust_4x 24 97
147 1204 Bust_1x 30 101
148 1207 Extended_Fad_4x 28 94
149 1209 Traditional_3x 28 91
150 1223 Seasonal_2x 28 97
151 1254 Traditional_4x 27 100
152 1255 Traditional_1x 28 96
153 1295 Fad_2x 27 98
154 1297 Traditional_1x 30 100
155 1302 Bust_2x 21 95
156 1314 Boom_classic_2x 30 98
157 1315 Boom_classic_2x 28 97
158 1317 Bust_4x 32 104
159 1328 Seasonal_4x 26 100
160 1355 Revival_1x 23 89
161 1361 Revival_3x 21 89
162 1374 Seasonal_2x 22 94
163 1382 Revival_2x 31 104
164 1394 Bust_1x 27 98
165 1413 Seasonal_2x 29 100
166 1421 Revival_1x 23 93
167 1424 Seasonal_2x 32 102
168 1430 Revival_4x 29 101
169 1441 Extended_Fad_2x 22 86
170 1442 Traditional_3x 27 92
171 1459 Traditional_4x 21 91
172 1471 Revival_2x 21 95
173 1476 Bust_3x 27 96
174 1479 Boom_classic_4x 24 90
175 1482 Fad_2x 27 94
176 1483 Traditional_3x 21 91
177 1487 Revival_3x 31 100
178 1514 Bust_4x 27 97
179 1524 Extended_Fad_2x 24 95
180 1540 Extended_Fad_3x 31 104
181 1549 Extended_Fad_3x 24 99
182 1563 Traditional_2x 22 91
183 1565 Bust_2x 21 91
184 1571 Revival_2x 29 98
185 1596 Bust_3x 24 92
186 1611 Revival_1x 23 93
187 1615 Bust_4x 24 93
188 1619 Boom_classic_3x 27 96
189 1634 Bust_1x 25 89
190 1636 Extended_Fad_2x 24 98
191 1638 Extended_Fad_2x 30 98
192 1639 Revival_3x 22 93
193 1642 Fad_4x 28 100
194 1648 Fad_1x 30 95
195 1659 Boom_classic_2x 24 96
196 1660 Fad_3x 29 96
197 1668 Seasonal_4x 28 97
198 1685 Seasonal_3x 52 126
199 1711 Seasonal_3x 58 126
200 1720 Seasonal_4x 41 110
201 1725 Traditional_3x 47 120
202 1754 Fad_2x 40 111
203 1760 Seasonal_4x 34 105
204 1768 Revival_3x 56 126
205 1780 Extended_Fad_1x 34 99
206 1799 Traditional_1x 38 113
207 1800 Bust_1x 50 117
208 1808 Extended_Fad_4x 36 102
209 1810 Revival_4x 40 106
210 1814 Traditional_1x 49 119
211 1815 Revival_3x 54 120
212 1816 Traditional_1x 34 102
213 1820 Bust_4x 46 114
214 1821 Extended_Fad_2x 48 112
215 1828 Traditional_4x 41 106
216 1830 Seasonal_1x 49 121
217 1835 Bust_2x 41 108
218 1844 Bust_2x 45 117
219 1852 Traditional_3x 49 120
220 1859 Fad_2x 35 102
221 1869 Traditional_3x 33 95
222 1872 Revival_1x 46 119
223 1892 Traditional_4x 34 103
224 1893 Traditional_2x 47 118
225 1898 Fad_3x 47 114
226 1901 Traditional_3x 44 114
227 1914 Bust_4x 49 118
228 1915 Boom_classic_2x 47 120
229 1918 Seasonal_1x 44 114
230 1925 Bust_3x 39 108
231 1927 Extended_Fad_3x 42 111
232 1953 Fad_1x 58 130
233 1973 Bust_1x 41 113
234 1993 Seasonal_2x 34 102
