TokenID OwnerAgentID LifeCycleCurveShape  DoB  DoD 
0 5 Bust_2x 1 11
1 7 Traditional_4x 1 13
2 17 Boom_classic_4x 1 13
3 18 Bust_1x 1 13
4 20 Extended_Fad_1x 1 10
5 27 Fad_4x 1 14
6 39 Extended_Fad_2x 1 15
7 47 Extended_Fad_3x 1 11
8 105 Revival_1x 1 16
9 106 Traditional_4x 1 15
10 114 Bust_2x 1 9
11 119 Boom_classic_3x 1 11
12 134 Bust_4x 2 13
13 137 Traditional_3x 2 12
14 138 Boom_classic_4x 2 16
15 162 Fad_3x 2 15
16 163 Fad_1x 2 13
17 175 Extended_Fad_4x 2 16
18 187 Fad_1x 2 17
19 226 Seasonal_1x 2 13
20 248 Traditional_4x 2 11
21 249 Revival_4x 2 15
22 256 Extended_Fad_2x 2 14
23 269 Fad_3x 2 15
24 289 Bust_2x 2 13
25 292 Extended_Fad_1x 2 10
26 295 Boom_classic_4x 2 12
27 332 Seasonal_2x 2 14
28 363 Revival_1x 2 13
29 364 Extended_Fad_1x 2 15
30 376 Fad_4x 2 15
31 387 Seasonal_3x 2 14
32 395 Traditional_2x 2 15
33 416 Bust_4x 2 11
34 417 Traditional_3x 2 13
35 426 Extended_Fad_3x 2 14
36 434 Boom_classic_3x 2 14
37 436 Bust_3x 2 9
38 440 Bust_3x 2 18
39 442 Traditional_4x 2 14
40 458 Revival_1x 2 13
41 465 Fad_1x 2 15
42 468 Revival_4x 2 15
43 487 Extended_Fad_2x 2 12
44 498 Extended_Fad_4x 2 11
45 501 Fad_3x 2 15
46 507 Fad_2x 2 13
47 530 Boom_classic_2x 2 16
48 541 Seasonal_3x 2 17
49 544 Extended_Fad_4x 2 14
50 562 Revival_1x 2 12
51 568 Boom_classic_3x 2 14
52 570 Seasonal_1x 2 12
53 597 Bust_4x 2 14
54 609 Boom_classic_2x 2 14
55 620 Bust_3x 2 10
56 624 Revival_2x 2 11
57 639 Traditional_3x 2 16
58 648 Bust_2x 2 14
59 651 Bust_3x 2 14
60 654 Seasonal_4x 2 13
61 655 Revival_2x 2 8
62 662 Traditional_1x 2 12
63 663 Traditional_1x 2 16
64 668 Bust_3x 2 12
65 674 Bust_2x 2 13
66 678 Bust_4x 2 13
67 679 Seasonal_4x 2 14
68 686 Revival_1x 2 12
69 701 Boom_classic_2x 2 14
70 718 Extended_Fad_4x 2 12
71 725 Fad_2x 2 14
72 736 Revival_1x 2 12
73 743 Boom_classic_3x 2 12
74 745 Seasonal_4x 2 13
75 751 Fad_1x 2 16
76 775 Extended_Fad_1x 2 12
77 780 Bust_3x 2 14
78 791 Bust_4x 2 14
79 809 Seasonal_3x 3 13
80 810 Revival_3x 3 14
81 823 Boom_classic_3x 3 13
82 829 Extended_Fad_2x 3 14
83 839 Seasonal_1x 3 20
84 875 Bust_2x 3 14
85 879 Fad_2x 3 13
86 880 Extended_Fad_2x 3 19
87 897 Bust_2x 3 14
88 910 Extended_Fad_1x 3 12
89 921 Traditional_1x 3 16
90 934 Seasonal_1x 3 13
91 939 Fad_3x 3 15
92 941 Fad_2x 3 16
93 943 Extended_Fad_4x 3 12
94 953 Seasonal_1x 3 14
95 956 Fad_4x 3 9
96 975 Boom_classic_3x 3 16
97 990 Revival_4x 3 13
98 1013 Boom_classic_1x 3 12
99 1023 Bust_3x 3 13
100 1036 Traditional_3x 3 17
101 1038 Fad_1x 3 17
102 1047 Seasonal_3x 3 17
103 1048 Revival_4x 3 11
104 1049 Fad_3x 3 15
105 1061 Revival_2x 3 18
106 1062 Fad_3x 3 15
107 1096 Boom_classic_3x 3 12
108 1097 Revival_1x 3 16
109 1133 Revival_3x 3 15
110 1152 Extended_Fad_3x 3 15
111 1176 Seasonal_1x 3 16
112 1217 Bust_3x 3 12
113 1225 Extended_Fad_3x 3 14
114 1247 Extended_Fad_3x 3 16
115 1262 Fad_1x 3 16
116 1269 Traditional_2x 3 12
117 1291 Traditional_4x 3 12
118 1308 Fad_1x 3 15
119 1309 Revival_1x 3 17
120 1315 Seasonal_1x 3 14
121 1331 Bust_2x 3 16
