AgentID,PurposeCategory,StrategyType,Liquidity,Holdings_1,Holdings_2,RiskAppetite,ProActiveness,IntelligenceGap,OwnTokenId,DayOfBirth,DayOfPassing,NumTermsForeseen_Fundy,DailyWeights4MvngAvg_Charty_1,DailyWeights4MvngAvg_Charty_2,DailyWeights4MvngAvg_Charty_3
1,Utilizer,charty,4925.82702305918,0,0,45.7488165740615,24.2671724838027,0,1,1,29,0,3,6,8
2,Creator,charty,2081.23657410379,0,0,43.6686570479742,38.0224221966855,0,2,1,13,0,3,6,8
3,Creator,noisy,2205.74701734741,0,0,62.2447719452597,42.5865356131363,0,3,1,13,0,3,6,8
4,Investor,fundy,10566.5602901293,0,0,23.2109917826622,24.5617360010261,13.6158599451318,4,1,48,13,3,6,8
5,Utilizer,charty,4244.02229272705,0,0,39.2475284242228,34.5358433776241,0,5,1,29,0,3,6,8
6,Speculator,noisy,1960.64200943644,0,0,33.1181297997258,56.7012596941975,0,6,1,12,0,3,6,8
7,Utilizer,fundy,4175.28765467241,0,0,24.6512514376002,7.51199110737824,25.2032403206586,7,1,27,22,3,6,8
8,Investor,fundy,11851.5581737561,0,0,21.0624637109609,7.48160027533111,25.1644746996651,8,1,50,19,3,6,8
9,Speculator,noisy,1701.95079536458,0,0,78.5164507538475,65.5686080870974,0,9,1,12,0,3,6,8
10,Speculator,noisy,2626.05832637177,0,0,51.859247957394,45.9046359291608,0,10,1,16,0,3,6,8
11,Investor,fundy,9470.49961499925,0,0,16.6112050642676,8.76118755441525,18.7098341424002,11,1,51,20,3,6,8
12,Speculator,noisy,1984.15369019283,0,0,58.4649741827005,39.5456147937409,0,12,1,17,0,3,6,8
13,Speculator,noisy,2468.39166903206,0,0,44.8792090639028,50.4071678066878,0,13,1,16,0,3,6,8
14,Speculator,noisy,2014.4125605386,0,0,69.7209168810009,48.7220150430906,0,14,1,14,0,3,6,8
15,Creator,noisy,1940.73662763121,0,0,47.0589894304559,45.5507268607313,0,15,1,11,0,3,6,8
16,Investor,fundy,10498.6844883145,0,0,20.1322734175754,15.6045064201389,22.1838236586262,16,1,53,17,3,6,8
