AgentID,PurposeCategory,StrategyType,Liquidity,Holdings_1,Holdings_2,RiskAppetite,ProActiveness,IntelligenceGap,OwnTokenId,DayOfBirth,DayOfPassing,NumTermsForeseen_Fundy,DailyWeights4MvngAvg_Charty_1,DailyWeights4MvngAvg_Charty_2,DailyWeights4MvngAvg_Charty_3
1,Investor,fundy,9480.47183124865,0,0,13.7633160160591,12.8256867469875,16.961487759063,1,1,49,18,3,6,8
2,Investor,fundy,9754.69689779687,0,0,16.1955464604865,7.58863555854863,13.0203942863645,2,1,49,16,3,6,8
3,Investor,fundy,9172.1648680804,0,0,18.7065612774563,9.82030711239342,23.680696835968,3,1,49,18,3,6,8
4,Investor,fundy,8805.23678701799,0,0,15.0822298852147,14.4452646847203,23.4349839857486,4,1,49,17,3,6,8
5,Investor,charty,10252.3701990313,0,0,40.6281053077809,55.925763583504,0,5,1,49,0,3,6,8
6,Investor,fundy,8589.55816332756,0,0,17.3103922348906,15.1057400794077,18.3988566200614,6,1,49,20,3,6,8
7,Investor,fundy,9416.39053445364,0,0,20.0634601056884,19.1153836434201,20.2500372835431,7,1,49,16,3,6,8
8,Investor,fundy,9227.30878481323,0,0,17.499419531148,18.7450724966263,26.9326509711447,8,1,49,16,3,6,8
9,Investor,charty,10532.6228792869,0,0,39.2605255670538,34.9463821192674,0,9,1,49,0,3,6,8
10,Investor,fundy,10189.6733758658,0,0,20.7955820741539,14.3280089833217,24.6477554104069,10,1,49,19,3,6,8
11,Investor,fundy,11629.6065874563,0,0,19.8247233283345,18.764183163308,28.5952534818586,11,1,49,18,3,6,8
12,Investor,fundy,9096.69822344155,0,0,20.9042082003265,10.1012626383198,18.2711992850818,12,1,49,24,3,6,8
13,Investor,fundy,10364.2694314664,0,0,20.7481627565685,6.03574885508543,18.0897373484533,13,1,49,16,3,6,8
14,Investor,fundy,8171.41799702463,0,0,22.6527608392582,11.9939627538818,16.3861308019703,14,1,49,22,3,6,8
15,Investor,fundy,10410.9122379077,0,0,17.4467655736536,14.1087688177424,16.715100257417,15,1,49,17,3,6,8
16,Investor,charty,8893.13860846778,0,0,39.3859779508974,50.5599808472234,0,16,1,49,0,3,6,8
17,Investor,fundy,10333.3691074535,0,0,21.7484285169965,6.16926742647958,22.7782322437695,17,1,49,18,3,6,8
18,Investor,fundy,9687.32418050644,0,0,15.6778583592542,19.1213287396205,26.2343072141221,18,1,49,17,3,6,8
19,Investor,fundy,8633.44498829105,0,0,17.4857086543415,10.9434543345786,21.4579795038793,19,1,49,17,3,6,8
20,Investor,fundy,10168.5141091589,0,0,16.961557657188,13.1303656992877,28.9434506142151,20,1,49,20,3,6,8
21,Investor,fundy,10825.5103336825,0,0,20.295121173166,11.2209804081766,23.7794741383453,21,1,49,20,3,6,8
22,Investor,fundy,10536.1741694737,0,0,16.3493924883487,16.0375398370615,13.3745023247115,22,1,49,19,3,6,8
23,Investor,fundy,10263.5188655096,0,0,21.1030915848186,10.2682580612959,21.837399034248,23,1,49,18,3,6,8
24,Investor,fundy,9787.04022685557,0,0,16.2892477919446,13.6699768707368,30.1028526111619,24,1,49,22,3,6,8
25,Investor,noisy,10524.017703249,0,0,61.1963958997076,56.40032610571,0,25,1,49,0,3,6,8
26,Investor,fundy,10638.1682428528,0,0,21.4644024139846,15.4055852895155,14.1993581419348,26,1,49,14,3,6,8
27,Investor,fundy,9469.27601816626,0,0,21.6982663702692,15.9385513637118,19.5632207327159,27,1,49,15,3,6,8
28,Investor,fundy,11328.8537695778,0,0,18.4583614140359,24.0203911635099,23.1935165140195,28,1,49,25,3,6,8
29,Investor,fundy,8194.97194832504,0,0,20.7176635852052,14.0314316723045,22.7761323505822,29,1,49,18,3,6,8
30,Investor,fundy,8658.81250989237,0,0,19.1713849556882,14.076055692429,7.30474026456099,30,1,49,19,3,6,8
31,Investor,fundy,9783.47861485552,0,0,21.1478943859157,17.9013812551317,23.6133459586931,31,1,49,19,3,6,8
