AgentID AgentLiquidity TokenID DeltaSupply TokenCurrentBuyPrice TokenCurrentSellPrice TokenCurrentSupply TransactionType SimulationMonth 
11 2242.868563 38 0.206785 1.033924 1.033924 0.206785 buy 1 
11 2242.976698 38 0.086496 0.601443 0.601443 0.120289 sell 1 
11 2241.860349 10 0.668236 3.341181 3.341181 0.668236 buy 1 
12 2380.921230 22 0.847575 4.237877 4.237877 0.847575 buy 1 
11 2241.946903 10 0.025422 3.214072 3.214072 0.642814 sell 1 
12 2380.483260 2 0.418555 2.092773 2.092773 0.418555 buy 1 
11 2241.909414 16 0.122456 0.612281 0.612281 0.122456 buy 1 
11 2241.893798 9 0.079034 0.395171 0.395171 0.079034 buy 1 
12 2378.169734 45 0.961983 4.809913 4.809913 0.961983 buy 1 
12 2375.695588 38 0.881773 5.010309 5.010309 1.002062 buy 1 
12 2378.329177 22 0.483522 1.820269 1.820269 0.364054 sell 1 
12 2383.055131 45 0.716050 1.229665 1.229665 0.245933 sell 1 
12 2383.017203 40 0.123171 0.615856 0.615856 0.123171 buy 1 
12 2382.732734 17 0.337324 1.686620 1.686620 0.337324 buy 1 
11 2240.297179 14 0.799154 3.995772 3.995772 0.799154 buy 1 
11 2240.435740 38 0.027284 4.873891 4.873891 0.974778 sell 1 
12 2382.609340 29 0.222166 1.110829 1.110829 0.222166 buy 1 
11 2241.310695 38 0.165474 4.046521 4.046521 0.809304 sell 1 
12 2380.662226 25 0.882522 4.412611 4.412611 0.882522 buy 1 
12 2380.517914 28 0.240260 1.201300 1.201300 0.240260 buy 1 
12 2380.693630 29 0.123730 0.492179 0.492179 0.098436 sell 1 
12 2385.384287 25 0.746928 0.677971 0.677971 0.135594 sell 1 
11 2241.346938 9 0.064992 0.070211 0.070211 0.014042 sell 1 
12 2385.573241 17 0.097841 1.197413 1.197413 0.239483 sell 1 
12 2387.667802 22 0.621015 -1.284804 -1.284804 -0.256961 sell 1 
5 4323.975544 22 0.649991 1.965150 1.965150 0.393030 buy 1 
11 2238.590212 29 0.956259 5.273471 5.273471 1.054694 buy 1 
11 2245.552175 29 0.919430 0.676323 0.676323 0.135265 sell 1 
21 1944.366643 47 0.628717 3.143584 3.143584 0.628717 buy 2 
70 1731.318680 31 0.633162 3.165810 3.165810 0.633162 buy 2 
46 2428.196943 10 0.961036 8.019250 8.019250 1.603850 buy 2 
16 2144.383676 41 0.463272 2.316359 2.316359 0.463272 buy 2 
51 2231.236159 7 0.715724 3.578621 3.578621 0.715724 buy 2 
44 2232.432482 24 0.288818 1.444092 1.444092 0.288818 buy 2 
75 1996.882492 12 0.705396 3.526981 3.526981 0.705396 buy 2 
72 11416.852080 34 0.697315 3.486573 3.486573 0.697315 buy 2 
45 1576.625461 31 0.509984 5.715732 5.715732 1.143146 buy 2 
30 5400.596763 25 0.833328 4.844608 4.844608 0.968922 buy 2 
26 4724.145983 29 0.965297 5.502810 5.502810 1.100562 buy 2 
61 2393.260715 39 0.675771 3.378855 3.378855 0.675771 buy 2 
75 1994.696001 43 0.935199 4.675993 4.675993 0.935199 buy 2 
66 4666.858913 9 0.154429 0.842358 0.842358 0.168472 buy 2 
31 5126.348854 45 0.746807 4.963698 4.963698 0.992740 buy 2 
56 2728.342137 38 0.662028 7.356661 7.356661 1.471332 buy 2 
35 2174.437687 3 0.032795 0.163973 0.163973 0.032795 buy 2 
41 1894.863313 45 0.924691 9.587153 9.587153 1.917431 buy 2 
69 1662.077552 18 0.226040 1.130200 1.130200 0.226040 buy 2 
32 2271.829832 42 0.237462 1.187311 1.187311 0.237462 buy 2 
51 2231.127374 3 0.178367 1.055808 1.055808 0.211162 buy 2 
47 1379.411025 1 0.916761 4.583807 4.583807 0.916761 buy 2 
46 2437.950448 10 0.940504 3.316731 3.316731 0.663346 sell 2 
72 11414.043134 7 0.563275 6.394997 6.394997 1.278999 buy 2 
41 1893.024020 37 0.857739 4.288697 4.288697 0.857739 buy 2 
44 2232.026152 40 0.298377 2.107741 2.107741 0.421548 buy 2 
11 2242.440809 2 0.772971 5.957630 5.957630 1.191526 buy 2 
47 1381.522069 1 0.381264 2.677489 2.677489 0.535498 sell 2 
14 2086.334477 14 0.913382 8.562684 8.562684 1.712537 buy 2 
14 2086.167458 41 0.067226 2.652491 2.652491 0.530498 buy 2 
70 1732.908012 31 0.250595 4.462754 4.462754 0.892551 sell 2 
69 1662.253773 18 0.122647 0.516967 0.516967 0.103393 sell 2 
69 1662.306201 18 0.074544 0.144250 0.144250 0.028850 sell 2 
56 2727.951993 23 0.395041 1.975205 1.975205 0.395041 buy 2 
73 1557.559253 12 0.172373 4.388847 4.388847 0.877769 buy 2 
35 2172.824945 43 0.297560 6.163792 6.163792 1.232758 buy 2 
56 2726.559862 27 0.746226 3.731128 3.731128 0.746226 buy 2 
73 1558.369397 12 0.168432 3.546688 3.546688 0.709338 sell 2 
73 1554.835603 42 0.974934 6.061984 6.061984 1.212397 buy 2 
79 2098.137435 25 0.414485 6.917031 6.917031 1.383406 buy 2 
73 1548.896088 25 0.687733 10.355698 10.355698 2.071140 buy 2 
44 2232.217859 40 0.082818 1.693650 1.693650 0.338730 sell 2 
70 1736.243412 31 0.567178 1.626866 1.626866 0.325373 sell 2 
79 2100.532873 25 0.219667 9.257363 9.257363 1.851473 sell 2 
21 1942.941390 28 0.552095 3.961774 3.961774 0.792355 buy 2 
12 2387.109135 30 0.472723 2.363613 2.363613 0.472723 buy 2 
75 1989.027809 25 0.534995 11.932338 11.932338 2.386468 buy 2 
75 1987.905570 13 0.669997 3.349983 3.349983 0.669997 buy 2 
16 2145.129607 41 0.230948 1.497750 1.497750 0.299550 sell 2 
61 2392.884293 8 0.388032 1.940160 1.940160 0.388032 buy 2 
16 2136.851236 7 0.945228 11.121137 11.121137 2.224227 buy 2 
45 1576.694804 31 0.040147 1.426130 1.426130 0.285226 sell 2 
75 1987.606973 44 0.345599 1.727996 1.727996 0.345599 buy 2 
59 1726.884341 18 0.918423 4.736367 4.736367 0.947273 buy 2 
